,许可证编号,公司名称,注销日期,url
0,Z2006633000011,浙江易士企业管理服务有限公司,2015年8月24日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149878/index.html
1,Z2007044000012,广东益民旅游休闲服务有限公司,2015年10月8日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149881/index.html
2,Z2003731000019,上海畅购企业服务有限公司,2016年1月5日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149884/index.html
3,Z2016311000019,北京润京搜索投资有限公司,2016年10月20日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149887/index.html
4,Z2004031000014,上海富友金融网络技术有限公司,2017年5月15日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149890/index.html
5,Z2007331000014,上海华势信息科技有限公司,2017年5月15日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149893/index.html
6,Z2007511000016,资和信网络支付有限公司,2017年5月15日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149896/index.html
7,Z2008531000010,上海付费通企业服务有限公司,2017年5月15日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149899/index.html
8,Z2017733000017,浙江盛炬支付技术有限公司,2017年5月15日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149902/index.html
9,Z2024137000015,易通支付有限公司,2017年5月15日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149905/index.html
10,Z2001731000013,杉德电子商务服务有限公司,2017年6月6日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149908/index.html
11,Z2009031000013,通联商务服务有限公司,2017年6月6日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149911/index.html
12,Z2022333000011,温州之民信息服务有限公司,2017年6月23日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149914/index.html
13,Z2009231000011,上海通卡投资管理有限公司,2016年12月20日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149917/index.html
14,Z2013731000018,普天银通支付有限公司,2017年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149920/index.html
